sandstorm_budget,initial_water,initial_food,robust_score,baseline_failure_rate,baseline_mean_penalized_value,baseline_p05,adverse_failure_rate,adverse_mean_penalized_value,adverse_p05
4,180,230,7751.525,0.001,8508.7925,7400.0,0.01,7951.525,7185.0
3,180,270,7749.5525,0.002,8823.03,7205.0,0.019,8129.5525,6980.0
6,200,270,7749.115,0.0,8267.6575,7150.0,0.001,7769.115,6930.0
6,190,190,7747.6325,0.0,8037.3,7510.0,0.001,7767.6325,7355.0
5,190,270,7743.455,0.001,8284.0175,7175.0,0.002,7783.455,6955.0
3,180,180,7742.8025,0.005,8767.2775,7650.0,0.022,8182.8025,7425.0
5,180,190,7737.2375,0.0,8372.075,7535.0,0.01,7937.2375,7380.0
6,190,240,7736.985,0.0,8107.69,7260.0,0.0,7736.985,7105.0
8,210,230,7736.985,0.0,8107.69,7260.0,0.0,7736.985,7105.0
8,230,220,7736.1825,0.0,8097.075,7260.0,0.0,7736.1825,7105.0
7,250,210,7736.1825,0.0,8097.075,7260.0,0.0,7736.1825,7105.0
8,220,270,7727.6675,0.0,8217.6575,7100.0,0.0,7727.6675,6885.0
7,190,200,7726.61,0.0,7987.3,7460.0,0.0,7726.61,7305.0
6,200,190,7722.6575,0.0,8012.3,7485.0,0.001,7742.6575,7330.0
3,190,180,7718.3525,0.005,8742.4025,7625.0,0.022,8158.3525,7400.0
7,200,240,7711.985,0.0,8082.69,7235.0,0.0,7711.985,7080.0
9,220,230,7711.1825,0.0,8072.075,7235.0,0.0,7711.1825,7080.0
8,240,220,7711.1825,0.0,8072.075,7235.0,0.0,7711.1825,7080.0
7,260,210,7711.1825,0.0,8072.075,7235.0,0.0,7711.1825,7080.0
7,210,280,7702.6675,0.0,8192.6575,7075.0,0.0,7702.6675,6860.0
4,180,240,7702.025,0.001,8458.8425,7350.0,0.01,7902.025,7135.0
7,200,200,7701.61,0.0,7962.3,7435.0,0.0,7701.61,7280.0
3,180,280,7700.5025,0.002,8773.13,7155.0,0.019,8080.5025,6930.0
6,200,280,7699.165,0.0,8217.6575,7100.0,0.001,7719.165,6880.0
6,210,190,7697.6825,0.0,7987.3,7460.0,0.001,7717.6825,7305.0
3,200,180,7693.9025,0.005,8717.5275,7600.0,0.022,8133.9025,7375.0
5,190,280,7693.555,0.001,8234.0675,7125.0,0.002,7733.555,6905.0
5,180,200,7688.54,0.0,8332.69,7485.0,0.01,7888.54,7330.0
6,190,250,7686.985,0.0,8057.69,7210.0,0.0,7686.985,7055.0
8,210,240,7686.985,0.0,8057.69,7210.0,0.0,7686.985,7055.0
9,230,230,7686.1825,0.0,8047.075,7210.0,0.0,7686.1825,7055.0
8,250,220,7686.1825,0.0,8047.075,7210.0,0.0,7686.1825,7055.0
7,190,210,7679.96,0.0,7950.3025,7410.0,0.0,7679.96,7255.0
7,210,200,7676.61,0.0,7937.3,7410.0,0.0,7676.61,7255.0
7,190,190,7674.135,0.0,7846.64,7510.0,0.0,7674.135,7355.0
6,220,190,7672.7075,0.0,7962.3,7435.0,0.001,7692.7075,7280.0
4,180,180,7671.6975,0.002,8405.525,7585.0,0.014,7951.6975,7430.0
3,210,180,7669.4525,0.005,8692.6525,7575.0,0.022,8109.4525,7350.0
7,200,250,7661.985,0.0,8032.69,7185.0,0.0,7661.985,7030.0
9,220,240,7661.985,0.0,8032.69,7185.0,0.0,7661.985,7030.0
9,240,230,7661.1825,0.0,8022.075,7185.0,0.0,7661.1825,7030.0
4,180,250,7652.525,0.001,8408.8925,7300.0,0.01,7852.525,7085.0
8,200,210,7651.61,0.0,7912.3,7385.0,0.0,7651.61,7230.0
7,220,200,7651.61,0.0,7912.3,7385.0,0.0,7651.61,7230.0
7,200,190,7649.135,0.0,7821.64,7485.0,0.0,7649.135,7330.0
8,190,190,7648.92,0.0,7768.0675,7510.0,0.0,7648.92,7355.0
6,230,190,7647.7325,0.0,7937.3,7410.0,0.001,7667.7325,7255.0
4,190,180,7647.0475,0.002,8380.575,7560.0,0.014,7927.0475,7405.0
9,190,190,7645.49,0.0,7751.66,7510.0,0.0,7645.49,7355.0
3,220,180,7645.0025,0.005,8667.7775,7550.0,0.022,8085.0025,7325.0
5,180,210,7639.04,0.0,8282.69,7435.0,0.01,7839.04,7280.0
6,190,260,7636.985,0.0,8007.69,7160.0,0.0,7636.985,7005.0
8,210,250,7636.985,0.0,8007.69,7160.0,0.0,7636.985,7005.0
7,190,220,7629.96,0.0,7900.3025,7360.0,0.0,7629.96,7205.0
8,210,210,7626.61,0.0,7887.3,7360.0,0.0,7626.61,7205.0
7,230,200,7626.61,0.0,7887.3,7360.0,0.0,7626.61,7205.0
8,190,200,7624.135,0.0,7796.64,7460.0,0.0,7624.135,7305.0
7,210,190,7624.135,0.0,7796.64,7460.0,0.0,7624.135,7305.0
8,200,190,7623.92,0.0,7743.0675,7485.0,0.0,7623.92,7330.0
6,240,190,7622.7575,0.0,7912.3,7385.0,0.001,7642.7575,7230.0
4,200,180,7622.3975,0.002,8355.625,7535.0,0.014,7902.3975,7380.0
3,230,180,7620.5525,0.005,8642.9025,7525.0,0.022,8060.5525,7300.0
9,200,190,7620.49,0.0,7726.66,7485.0,0.0,7620.49,7330.0
7,200,260,7611.985,0.0,7982.69,7135.0,0.0,7611.985,6980.0
9,220,250,7611.985,0.0,7982.69,7135.0,0.0,7611.985,6980.0
8,200,220,7604.96,0.0,7875.3025,7335.0,0.0,7604.96,7180.0
4,180,260,7603.025,0.001,8358.9425,7250.0,0.01,7803.025,7035.0
8,220,210,7601.61,0.0,7862.3,7335.0,0.0,7601.61,7180.0
7,240,200,7601.61,0.0,7862.3,7335.0,0.0,7601.61,7180.0
8,200,200,7599.135,0.0,7771.64,7435.0,0.0,7599.135,7280.0
7,220,190,7599.135,0.0,7771.64,7435.0,0.0,7599.135,7280.0
9,190,200,7598.92,0.0,7718.0675,7460.0,0.0,7598.92,7305.0
8,210,190,7598.92,0.0,7718.0675,7460.0,0.0,7598.92,7305.0
6,250,190,7597.7825,0.0,7887.3,7360.0,0.001,7617.7825,7205.0
4,210,180,7597.7475,0.002,8330.675,7510.0,0.014,7877.7475,7355.0
3,240,180,7596.1025,0.005,8618.0275,7500.0,0.022,8036.1025,7275.0
9,210,190,7595.49,0.0,7701.66,7460.0,0.0,7595.49,7305.0
5,180,220,7589.54,0.0,8232.69,7385.0,0.01,7789.54,7230.0
6,190,270,7586.985,0.0,7957.69,7110.0,0.0,7586.985,6955.0
8,210,260,7586.985,0.0,7957.69,7110.0,0.0,7586.985,6955.0
7,190,230,7579.96,0.0,7850.3025,7310.0,0.0,7579.96,7155.0
9,210,220,7576.61,0.0,7837.3,7310.0,0.0,7576.61,7155.0
8,230,210,7576.61,0.0,7837.3,7310.0,0.0,7576.61,7155.0
7,250,200,7576.61,0.0,7837.3,7310.0,0.0,7576.61,7155.0
8,190,210,7574.135,0.0,7746.64,7410.0,0.0,7574.135,7255.0
8,210,200,7574.135,0.0,7746.64,7410.0,0.0,7574.135,7255.0
7,230,190,7574.135,0.0,7746.64,7410.0,0.0,7574.135,7255.0
9,200,200,7573.92,0.0,7693.0675,7435.0,0.0,7573.92,7280.0
8,220,190,7573.92,0.0,7693.0675,7435.0,0.0,7573.92,7280.0
4,220,180,7573.0975,0.002,8305.725,7485.0,0.014,7853.0975,7330.0
6,260,190,7572.8075,0.0,7862.3,7335.0,0.001,7592.8075,7180.0
3,250,180,7571.6525,0.005,8593.1525,7475.0,0.022,8011.6525,7250.0
9,220,190,7570.49,0.0,7676.66,7435.0,0.0,7570.49,7280.0
7,200,270,7561.985,0.0,7932.69,7085.0,0.0,7561.985,6930.0
9,220,260,7561.985,0.0,7932.69,7085.0,0.0,7561.985,6930.0
8,200,230,7554.96,0.0,7825.3025,7285.0,0.0,7554.96,7130.0
4,180,270,7553.525,0.001,8308.9925,7200.0,0.01,7753.525,6985.0
9,220,220,7551.61,0.0,7812.3,7285.0,0.0,7551.61,7130.0
8,240,210,7551.61,0.0,7812.3,7285.0,0.0,7551.61,7130.0
7,260,200,7551.61,0.0,7812.3,7285.0,0.0,7551.61,7130.0
9,200,210,7549.135,0.0,7721.64,7385.0,0.0,7549.135,7230.0
8,220,200,7549.135,0.0,7721.64,7385.0,0.0,7549.135,7230.0
7,240,190,7549.135,0.0,7721.64,7385.0,0.0,7549.135,7230.0
9,190,210,7548.92,0.0,7668.0675,7410.0,0.0,7548.92,7255.0
9,210,200,7548.92,0.0,7668.0675,7410.0,0.0,7548.92,7255.0
8,230,190,7548.92,0.0,7668.0675,7410.0,0.0,7548.92,7255.0
4,230,180,7548.4475,0.002,8280.775,7460.0,0.014,7828.4475,7305.0
6,270,190,7547.8325,0.0,7837.3,7310.0,0.001,7567.8325,7155.0
3,260,180,7547.2025,0.005,8568.2775,7450.0,0.022,7987.2025,7225.0
9,230,190,7545.49,0.0,7651.66,7410.0,0.0,7545.49,7255.0
5,180,230,7540.04,0.0,8182.69,7335.0,0.01,7740.04,7180.0
6,190,280,7536.985,0.0,7907.69,7060.0,0.0,7536.985,6905.0
8,210,270,7536.985,0.0,7907.69,7060.0,0.0,7536.985,6905.0
7,190,240,7529.96,0.0,7800.3025,7260.0,0.0,7529.96,7105.0
9,210,230,7529.96,0.0,7800.3025,7260.0,0.0,7529.96,7105.0
9,230,220,7526.61,0.0,7787.3,7260.0,0.0,7526.61,7105.0
8,250,210,7526.61,0.0,7787.3,7260.0,0.0,7526.61,7105.0
8,190,220,7524.135,0.0,7696.64,7360.0,0.0,7524.135,7205.0
9,210,210,7524.135,0.0,7696.64,7360.0,0.0,7524.135,7205.0
8,230,200,7524.135,0.0,7696.64,7360.0,0.0,7524.135,7205.0
7,250,190,7524.135,0.0,7696.64,7360.0,0.0,7524.135,7205.0
9,220,200,7523.92,0.0,7643.0675,7385.0,0.0,7523.92,7230.0
8,240,190,7523.92,0.0,7643.0675,7385.0,0.0,7523.92,7230.0
4,240,180,7523.7975,0.002,8255.825,7435.0,0.014,7803.7975,7280.0
3,270,180,7522.7525,0.005,8543.4025,7425.0,0.022,7962.7525,7200.0
5,180,180,7522.5325,0.0,8112.3,7585.0,0.012,7762.5325,7430.0
9,240,190,7520.49,0.0,7626.66,7385.0,0.0,7520.49,7230.0
7,200,280,7511.985,0.0,7882.69,7035.0,0.0,7511.985,6880.0
9,220,270,7511.985,0.0,7882.69,7035.0,0.0,7511.985,6880.0
8,200,240,7504.96,0.0,7775.3025,7235.0,0.0,7504.96,7080.0
4,180,280,7504.025,0.001,8259.0425,7150.0,0.01,7704.025,6935.0
9,240,220,7501.61,0.0,7762.3,7235.0,0.0,7501.61,7080.0
8,260,210,7501.61,0.0,7762.3,7235.0,0.0,7501.61,7080.0
6,180,190,7500.3625,0.0,8062.3,7535.0,0.011,7720.3625,7380.0
4,250,180,7499.1475,0.002,8230.875,7410.0,0.014,7779.1475,7255.0
9,200,220,7499.135,0.0,7671.64,7335.0,0.0,7499.135,7180.0
9,220,210,7499.135,0.0,7671.64,7335.0,0.0,7499.135,7180.0
8,240,200,7499.135,0.0,7671.64,7335.0,0.0,7499.135,7180.0
7,260,190,7499.135,0.0,7671.64,7335.0,0.0,7499.135,7180.0
9,190,220,7498.92,0.0,7618.0675,7360.0,0.0,7498.92,7205.0
9,230,200,7498.92,0.0,7618.0675,7360.0,0.0,7498.92,7205.0
8,250,190,7498.92,0.0,7618.0675,7360.0,0.0,7498.92,7205.0
3,280,180,7498.3025,0.005,8518.5275,7400.0,0.022,7938.3025,7175.0
5,190,180,7497.8325,0.0,8087.3,7560.0,0.012,7737.8325,7405.0
9,250,190,7495.49,0.0,7601.66,7360.0,0.0,7495.49,7205.0
5,180,240,7490.54,0.0,8132.69,7285.0,0.01,7690.54,7130.0
8,210,280,7486.985,0.0,7857.69,7010.0,0.0,7486.985,6855.0
7,190,250,7479.96,0.0,7750.3025,7210.0,0.0,7479.96,7055.0
9,210,240,7479.96,0.0,7750.3025,7210.0,0.0,7479.96,7055.0
9,250,220,7476.61,0.0,7737.3,7210.0,0.0,7476.61,7055.0
4,260,180,7474.4975,0.002,8205.925,7385.0,0.014,7754.4975,7230.0
8,190,230,7474.135,0.0,7646.64,7310.0,0.0,7474.135,7155.0
9,230,210,7474.135,0.0,7646.64,7310.0,0.0,7474.135,7155.0
8,250,200,7474.135,0.0,7646.64,7310.0,0.0,7474.135,7155.0
7,270,190,7474.135,0.0,7646.64,7310.0,0.0,7474.135,7155.0
9,240,200,7473.92,0.0,7593.0675,7335.0,0.0,7473.92,7180.0
8,260,190,7473.92,0.0,7593.0675,7335.0,0.0,7473.92,7180.0
5,200,180,7473.1325,0.0,8062.3,7535.0,0.012,7713.1325,7380.0
9,260,190,7470.49,0.0,7576.66,7335.0,0.0,7470.49,7180.0
8,200,250,7454.96,0.0,7725.3025,7185.0,0.0,7454.96,7030.0
6,180,200,7454.2625,0.0,8025.3025,7485.0,0.011,7674.2625,7330.0
4,270,180,7449.8475,0.002,8180.975,7360.0,0.014,7729.8475,7205.0
9,200,230,7449.135,0.0,7621.64,7285.0,0.0,7449.135,7130.0
9,240,210,7449.135,0.0,7621.64,7285.0,0.0,7449.135,7130.0
8,260,200,7449.135,0.0,7621.64,7285.0,0.0,7449.135,7130.0
6,180,180,7449.11,0.0,7921.64,7585.0,0.011,7669.11,7430.0
9,190,230,7448.92,0.0,7568.0675,7310.0,0.0,7448.92,7155.0
9,250,200,7448.92,0.0,7568.0675,7310.0,0.0,7448.92,7155.0
8,270,190,7448.92,0.0,7568.0675,7310.0,0.0,7448.92,7155.0
5,210,180,7448.4325,0.0,8037.3,7510.0,0.012,7688.4325,7355.0
9,270,190,7445.49,0.0,7551.66,7310.0,0.0,7445.49,7155.0
5,180,250,7441.04,0.0,8082.69,7235.0,0.01,7641.04,7080.0
7,190,260,7429.96,0.0,7700.3025,7160.0,0.0,7429.96,7005.0
9,210,250,7429.96,0.0,7700.3025,7160.0,0.0,7429.96,7005.0
7,180,190,7426.89,0.0,7871.64,7535.0,0.01,7626.89,7380.0
4,280,180,7425.1975,0.002,8156.025,7335.0,0.014,7705.1975,7180.0
6,190,180,7424.385,0.0,7896.64,7560.0,0.011,7644.385,7405.0
8,190,240,7424.135,0.0,7596.64,7260.0,0.0,7424.135,7105.0
9,250,210,7424.135,0.0,7596.64,7260.0,0.0,7424.135,7105.0
9,260,200,7423.92,0.0,7543.0675,7285.0,0.0,7423.92,7130.0
7,180,180,7423.895,0.0,7843.0675,7585.0,0.011,7643.895,7430.0
5,220,180,7423.7325,0.0,8012.3,7485.0,0.012,7663.7325,7330.0
8,180,180,7420.465,0.0,7826.66,7585.0,0.011,7640.465,7430.0
9,180,180,7420.465,0.0,7826.66,7585.0,0.011,7640.465,7430.0
8,200,260,7404.96,0.0,7675.3025,7135.0,0.0,7404.96,6980.0
6,180,210,7404.8125,0.0,7975.3025,7435.0,0.011,7624.8125,7280.0
8,180,190,7401.675,0.0,7793.0675,7535.0,0.01,7601.675,7380.0
6,200,180,7399.66,0.0,7871.64,7535.0,0.011,7619.66,7380.0
7,190,180,7399.17,0.0,7818.0675,7560.0,0.011,7619.17,7405.0
9,200,240,7399.135,0.0,7571.64,7235.0,0.0,7399.135,7080.0
9,260,210,7399.135,0.0,7571.64,7235.0,0.0,7399.135,7080.0
5,230,180,7399.0325,0.0,7987.3,7460.0,0.012,7639.0325,7305.0
9,190,240,7398.92,0.0,7518.0675,7260.0,0.0,7398.92,7105.0
9,180,190,7398.245,0.0,7776.66,7535.0,0.01,7598.245,7380.0
8,190,180,7395.74,0.0,7801.66,7560.0,0.011,7615.74,7405.0
9,190,180,7395.74,0.0,7801.66,7560.0,0.011,7615.74,7405.0
5,180,260,7391.54,0.0,8032.69,7185.0,0.01,7591.54,7030.0
7,190,270,7379.96,0.0,7650.3025,7110.0,0.0,7379.96,6955.0
9,210,260,7379.96,0.0,7650.3025,7110.0,0.0,7379.96,6955.0
7,180,200,7377.39,0.0,7821.64,7485.0,0.01,7577.39,7330.0
6,210,180,7374.935,0.0,7846.64,7510.0,0.011,7594.935,7355.0
7,200,180,7374.445,0.0,7793.0675,7535.0,0.011,7594.445,7380.0
5,240,180,7374.3325,0.0,7962.3,7435.0,0.012,7614.3325,7280.0
8,190,250,7374.135,0.0,7546.64,7210.0,0.0,7374.135,7055.0
8,200,180,7371.015,0.0,7776.66,7535.0,0.011,7591.015,7380.0
9,200,180,7371.015,0.0,7776.66,7535.0,0.011,7591.015,7380.0
6,180,220,7355.3625,0.0,7925.3025,7385.0,0.011,7575.3625,7230.0
8,200,270,7354.96,0.0,7625.3025,7085.0,0.0,7354.96,6930.0
8,180,200,7352.175,0.0,7743.0675,7485.0,0.01,7552.175,7330.0
6,220,180,7350.21,0.0,7821.64,7485.0,0.011,7570.21,7330.0
7,210,180,7349.72,0.0,7768.0675,7510.0,0.011,7569.72,7355.0
5,250,180,7349.6325,0.0,7937.3,7410.0,0.012,7589.6325,7255.0
9,200,250,7349.135,0.0,7521.64,7185.0,0.0,7349.135,7030.0
9,190,250,7348.92,0.0,7468.0675,7210.0,0.0,7348.92,7055.0
9,180,200,7348.745,0.0,7726.66,7485.0,0.01,7548.745,7330.0
8,210,180,7346.29,0.0,7751.66,7510.0,0.011,7566.29,7355.0
9,210,180,7346.29,0.0,7751.66,7510.0,0.011,7566.29,7355.0
5,180,270,7342.04,0.0,7982.69,7135.0,0.01,7542.04,6980.0
7,190,280,7329.96,0.0,7600.3025,7060.0,0.0,7329.96,6905.0
9,210,270,7329.96,0.0,7600.3025,7060.0,0.0,7329.96,6905.0
7,180,210,7327.89,0.0,7771.64,7435.0,0.01,7527.89,7280.0
6,230,180,7325.485,0.0,7796.64,7460.0,0.011,7545.485,7305.0
7,220,180,7324.995,0.0,7743.0675,7485.0,0.011,7544.995,7330.0
5,260,180,7324.9325,0.0,7912.3,7385.0,0.012,7564.9325,7230.0
8,190,260,7324.135,0.0,7496.64,7160.0,0.0,7324.135,7005.0
8,220,180,7321.565,0.0,7726.66,7485.0,0.011,7541.565,7330.0
9,220,180,7321.565,0.0,7726.66,7485.0,0.011,7541.565,7330.0
6,180,230,7305.9125,0.0,7875.3025,7335.0,0.011,7525.9125,7180.0
8,200,280,7304.96,0.0,7575.3025,7035.0,0.0,7304.96,6880.0
8,180,210,7302.675,0.0,7693.0675,7435.0,0.01,7502.675,7280.0
6,240,180,7300.76,0.0,7771.64,7435.0,0.011,7520.76,7280.0
7,230,180,7300.27,0.0,7718.0675,7460.0,0.011,7520.27,7305.0
5,270,180,7300.2325,0.0,7887.3,7360.0,0.012,7540.2325,7205.0
9,180,210,7299.245,0.0,7676.66,7435.0,0.01,7499.245,7280.0
9,200,260,7299.135,0.0,7471.64,7135.0,0.0,7299.135,6980.0
9,190,260,7298.92,0.0,7418.0675,7160.0,0.0,7298.92,7005.0
8,230,180,7296.84,0.0,7701.66,7460.0,0.011,7516.84,7305.0
9,230,180,7296.84,0.0,7701.66,7460.0,0.011,7516.84,7305.0
5,180,280,7292.54,0.0,7932.69,7085.0,0.01,7492.54,6930.0
9,210,280,7279.96,0.0,7550.3025,7010.0,0.0,7279.96,6855.0
7,180,220,7278.39,0.0,7721.64,7385.0,0.01,7478.39,7230.0
6,250,180,7276.035,0.0,7746.64,7410.0,0.011,7496.035,7255.0
7,240,180,7275.545,0.0,7693.0675,7435.0,0.011,7495.545,7280.0
5,280,180,7275.5325,0.0,7862.3,7335.0,0.012,7515.5325,7180.0
8,190,270,7274.135,0.0,7446.64,7110.0,0.0,7274.135,6955.0
8,240,180,7272.115,0.0,7676.66,7435.0,0.011,7492.115,7280.0
9,240,180,7272.115,0.0,7676.66,7435.0,0.011,7492.115,7280.0
6,180,240,7256.4625,0.0,7825.3025,7285.0,0.011,7476.4625,7130.0
8,180,220,7253.175,0.0,7643.0675,7385.0,0.01,7453.175,7230.0
6,260,180,7251.31,0.0,7721.64,7385.0,0.011,7471.31,7230.0
7,250,180,7250.82,0.0,7668.0675,7410.0,0.011,7470.82,7255.0
9,180,220,7249.745,0.0,7626.66,7385.0,0.01,7449.745,7230.0
9,200,270,7249.135,0.0,7421.64,7085.0,0.0,7249.135,6930.0
9,190,270,7248.92,0.0,7368.0675,7110.0,0.0,7248.92,6955.0
8,250,180,7247.39,0.0,7651.66,7410.0,0.011,7467.39,7255.0
9,250,180,7247.39,0.0,7651.66,7410.0,0.011,7467.39,7255.0
7,180,230,7228.89,0.0,7671.64,7335.0,0.01,7428.89,7180.0
6,270,180,7226.585,0.0,7696.64,7360.0,0.011,7446.585,7205.0
7,260,180,7226.095,0.0,7643.0675,7385.0,0.011,7446.095,7230.0
8,190,280,7224.135,0.0,7396.64,7060.0,0.0,7224.135,6905.0
8,260,180,7222.665,0.0,7626.66,7385.0,0.011,7442.665,7230.0
9,260,180,7222.665,0.0,7626.66,7385.0,0.011,7442.665,7230.0
6,180,250,7207.0125,0.0,7775.3025,7235.0,0.011,7427.0125,7080.0
8,180,230,7203.675,0.0,7593.0675,7335.0,0.01,7403.675,7180.0
6,280,180,7201.86,0.0,7671.64,7335.0,0.011,7421.86,7180.0
7,270,180,7201.37,0.0,7618.0675,7360.0,0.011,7421.37,7205.0
9,180,230,7200.245,0.0,7576.66,7335.0,0.01,7400.245,7180.0
9,200,280,7199.135,0.0,7371.64,7035.0,0.0,7199.135,6880.0
9,190,280,7198.92,0.0,7318.0675,7060.0,0.0,7198.92,6905.0
8,270,180,7197.94,0.0,7601.66,7360.0,0.011,7417.94,7205.0
9,270,180,7197.94,0.0,7601.66,7360.0,0.011,7417.94,7205.0
7,180,240,7179.39,0.0,7621.64,7285.0,0.01,7379.39,7130.0
7,280,180,7176.645,0.0,7593.0675,7335.0,0.011,7396.645,7180.0
8,280,180,7173.215,0.0,7576.66,7335.0,0.011,7393.215,7180.0
9,280,180,7173.215,0.0,7576.66,7335.0,0.011,7393.215,7180.0
6,180,260,7157.5625,0.0,7725.3025,7185.0,0.011,7377.5625,7030.0
8,180,240,7154.175,0.0,7543.0675,7285.0,0.01,7354.175,7130.0
9,180,240,7150.745,0.0,7526.66,7285.0,0.01,7350.745,7130.0
7,180,250,7129.89,0.0,7571.64,7235.0,0.01,7329.89,7080.0
6,180,270,7108.1125,0.0,7675.3025,7135.0,0.011,7328.1125,6980.0
8,180,250,7104.675,0.0,7493.0675,7235.0,0.01,7304.675,7080.0
9,180,250,7101.245,0.0,7476.66,7235.0,0.01,7301.245,7080.0
7,180,260,7080.39,0.0,7521.64,7185.0,0.01,7280.39,7030.0
6,180,280,7058.6625,0.0,7625.3025,7085.0,0.011,7278.6625,6930.0
8,180,260,7055.175,0.0,7443.0675,7185.0,0.01,7255.175,7030.0
9,180,260,7051.745,0.0,7426.66,7185.0,0.01,7251.745,7030.0
7,180,270,7030.89,0.0,7471.64,7135.0,0.01,7230.89,6980.0
8,180,270,7005.675,0.0,7393.0675,7135.0,0.01,7205.675,6980.0
9,180,270,7002.245,0.0,7376.66,7135.0,0.01,7202.245,6980.0
7,180,280,6981.39,0.0,7421.64,7085.0,0.01,7181.39,6930.0
8,180,280,6956.175,0.0,7343.0675,7085.0,0.01,7156.175,6930.0
9,180,280,6952.745,0.0,7326.66,7085.0,0.01,7152.745,6930.0
