weather_model,persistence,in_ambiguity_set,policy,samples,player_observations,player_failure_rate,player_failure_wilson_low,player_failure_wilson_high,session_failure_rate,session_failure_wilson_low,session_failure_wilson_high,mean_individual_value,mean_individual_ci_low,mean_individual_ci_high,p05_individual_value,role1_mean,role2_mean,role3_mean,role_mean_gap,role1_failure_rate,role2_failure_rate,role3_failure_rate,role1_failure_wilson_high,role2_failure_wilson_high,role3_failure_wilson_high,max_role_failure_wilson_high,mean_arrival_day,shared_edge_player_days_per_session,shared_mine_player_days_per_session,solo_mine_player_days_per_session,risk_budget,wilson_pass
基准,0.0,True,IID效率策略_185_185,30000,90000,0.00013333333333333334,7.627669254184941e-05,0.00023305964654577035,0.0003333333333333333,0.0001810759094400284,0.0006135376354094122,7766.973055555555,7765.888114510303,7768.057996600807,7542.5,7786.105916666666,7786.105916666666,7728.707333333334,57.39858333333268,3.3333333333333335e-05,3.3333333333333335e-05,0.0003333333333333333,0.00018880618812429888,0.00018880618812429888,0.0006135376354094122,0.0006135376354094122,9.25154465039783,0.0,0.0,0.0,0.002,True
基准,0.0,True,角色条件分布鲁棒策略,30000,90000,0.0,0.0,4.268105403536249e-05,0.0,1.3552527156068805e-20,0.00012803223300477719,7509.596555555556,7508.579018067625,7510.614093043487,7237.5,7561.3445,7561.3445,7406.100666666666,155.2438333333339,0.0,0.0,0.0,0.00012803223300477719,0.00012803223300477719,0.00012803223300477719,0.00012803223300477719,9.2522,0.0,0.0,0.0,0.002,True
基准,0.15,True,IID效率策略_185_185,30000,90000,0.0017666666666666666,0.0015127551406043714,0.002063108440373399,0.0033666666666666667,0.0027717430180633417,0.004088760464572537,7752.8966666666665,7750.52647505364,7755.266858279693,7477.5,7777.21075,7777.21075,7704.2685,72.94225000000006,0.0009666666666666667,0.0009666666666666667,0.0033666666666666667,0.0013879482820038605,0.0013879482820038605,0.004088760464572537,0.004088760464572537,9.277022740174308,0.0,0.0,0.0,0.002,False
基准,0.15,True,角色条件分布鲁棒策略,30000,90000,0.0,0.0,4.268105403536249e-05,0.0,1.3552527156068805e-20,0.00012803223300477719,7507.187111111111,7506.04376349989,7508.330458722333,7220.0,7559.104,7559.104,7403.3533333333335,155.7506666666668,0.0,0.0,0.0,0.00012803223300477719,0.00012803223300477719,0.00012803223300477719,0.00012803223300477719,9.287822222222223,0.0,0.0,0.0,0.002,True
基准,0.35,True,IID效率策略_185_185,30000,90000,0.006988888888888889,0.006465274182773178,0.007554588062751334,0.011766666666666667,0.010607417936337625,0.013050934604783774,7712.033166666667,7707.635127681984,7716.43120565135,7445.0,7747.9045,7747.9045,7640.2905,107.61399999999958,0.0046,0.0046,0.011766666666666667,0.005431712346690585,0.005431712346690585,0.013050934604783774,0.013050934604783774,9.277047364357566,0.0,0.0,0.0,0.002,False
基准,0.35,True,角色条件分布鲁棒策略,30000,90000,0.0006,0.00045992225130420854,0.0007827075854663112,0.0007333333333333333,0.0004843538140651724,0.0011101573049978645,7499.414777777778,7497.617668558571,7501.211886996985,7150.0,7551.7730833333335,7551.7730833333335,7394.698166666667,157.07491666666647,0.0005666666666666667,0.0005666666666666667,0.0006666666666666666,0.0009073759549226143,0.0009073759549226143,0.0010295707734424805,0.0010295707734424805,9.31760167211438,0.0,0.0,0.0,0.002,True
基准,0.7,False,IID效率策略_185_185,30000,90000,0.04833333333333333,0.04695133240034751,0.04975388948513109,0.060333333333333336,0.057694865374059004,0.06308438430282987,7407.8604444444445,7396.841025719315,7418.879863169574,7232.5,7468.305166666667,7468.305166666667,7286.971,181.33416666666744,0.042333333333333334,0.042333333333333334,0.060333333333333336,0.044670967968349136,0.044670967968349136,0.06308438430282987,0.06308438430282987,9.098493870402802,0.0,0.0,0.0,0.002,False
基准,0.7,False,角色条件分布鲁棒策略,30000,90000,0.01861111111111111,0.017748492305763572,0.019514822286816023,0.020566666666666667,0.0190209378758045,0.02223516129801601,7365.4455,7358.578645037376,7372.312354962623,6952.5,7415.786666666667,7415.786666666667,7264.763166666667,151.02350000000024,0.018666666666666668,0.018666666666666668,0.0185,0.02026097699109744,0.02026097699109744,0.020087615310018403,0.02026097699109744,9.321256722332295,0.0,0.0,0.0,0.002,False
不利,0.0,True,IID效率策略_185_185,30000,90000,0.0036666666666666666,0.003292411525197827,0.004083289867774609,0.0078,0.006865604242149249,0.008860430688020653,7642.533722222222,7639.350732255945,7645.7167121884995,7397.5,7678.806,7678.806,7569.989166666666,108.8168333333333,0.0016,0.0016,0.0078,0.0021205340340390974,0.0021205340340390974,0.008860430688020653,0.008860430688020653,9.787520910003346,0.0,0.0,0.0,0.005,False
不利,0.0,True,角色条件分布鲁棒策略,30000,90000,5.555555555555556e-05,2.3730238680493845e-05,0.00013005718412664247,0.00016666666666666666,7.119207237238316e-05,0.0003901308165547258,7410.043611111111,7408.88363486567,7411.203587356553,7120.0,7465.225166666667,7465.225166666667,7299.6805,165.54466666666667,0.0,0.0,0.00016666666666666666,0.00012803223300477719,0.00012803223300477719,0.0003901308165547258,0.0003901308165547258,9.80534474137452,0.0,0.0,0.0,0.005,True
不利,0.15,True,IID效率策略_185_185,30000,90000,0.010288888888888889,0.00965020008318668,0.010969380467381199,0.018666666666666668,0.017195608705208497,0.02026097699109744,7592.918388888889,7587.745929396134,7598.090848381645,7382.5,7644.251083333334,7644.251083333334,7490.253,153.99808333333385,0.0061,0.0061,0.018666666666666668,0.007046542100678452,0.007046542100678452,0.02026097699109744,0.02026097699109744,9.773693782697533,0.0,0.0,0.0,0.005,False
不利,0.15,True,角色条件分布鲁棒策略,30000,90000,0.0004,0.0002889592511216765,0.0005536876580704577,0.0005,0.0003030421933530104,0.000824862007418762,7405.261388888889,7403.697076734332,7406.825701043446,7080.0,7460.20575,7460.20575,7295.372666666667,164.83308333333298,0.00036666666666666667,0.00036666666666666667,0.00046666666666666666,0.0006565118964263314,0.0006565118964263314,0.0007832312489337246,0.0007832312489337246,9.826908541194255,0.0,0.0,0.0,0.005,True
不利,0.35,True,IID效率策略_185_185,30000,90000,0.026344444444444445,0.02531814471155747,0.027411176414053048,0.040966666666666665,0.03878186123662563,0.04326901422208828,7477.401222222222,7469.269906736139,7485.5325377083045,7312.5,7550.848083333333,7550.848083333333,7330.5075,220.3405833333336,0.019033333333333333,0.019033333333333333,0.040966666666666665,0.02064226198657499,0.02064226198657499,0.04326901422208828,0.04326901422208828,9.707482682673545,0.0,0.0,0.0,0.005,False
不利,0.35,True,角色条件分布鲁棒策略,30000,90000,0.0034,0.0030403129673630394,0.0038020778555048823,0.0042,0.0035289673908043898,0.004997989371443147,7383.330166666667,7380.1670485787245,7386.493284754609,7012.5,7438.633083333333,7438.633083333333,7272.724333333334,165.9087499999996,0.0033,0.0033,0.0036,0.004015633674200207,0.004015633674200207,0.0043442137085154585,0.0043442137085154585,9.842308292639418,0.0,0.0,0.0,0.005,True
不利,0.7,False,IID效率策略_185_185,30000,90000,0.09313333333333333,0.09125198276328861,0.09504941489974841,0.11613333333333334,0.11255695157727685,0.11980800970240868,6991.6594444444445,6976.9412932075375,7006.3775956813515,0.0,7093.00525,7093.00525,6788.967833333333,304.037416666667,0.08163333333333334,0.08163333333333334,0.11613333333333334,0.08478550391566257,0.08478550391566257,0.11980800970240868,0.11980800970240868,9.37326325075351,0.0,0.0,0.0,0.005,False
不利,0.7,False,角色条件分布鲁棒策略,30000,90000,0.04172222222222222,0.04043532334294548,0.04304824065869204,0.04646666666666667,0.04414226384216247,0.04890720326198839,7109.047666666666,7099.185679761856,7118.909653571477,6725.0,7167.271333333333,7167.271333333333,6992.600333333334,174.67099999999937,0.0408,0.0408,0.04356666666666666,0.04309799852784055,0.04309799852784055,0.045935589749153106,0.045935589749153106,9.73444257638124,0.0,0.0,0.0,0.005,False
